SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22023,1629029,0022301161,"APR 10, 2024",DAL @ MIA,W,36,9,23,0.391,4,15,0.267,7,8,0.875,1,8,9,9,0,0,3,4,29,7,1
22023,1629029,0022301144,"APR 09, 2024",DAL @ CHA,W,35,13,25,0.52,8,17,0.471,5,7,0.714,2,10,12,10,0,1,4,2,39,22,1
22023,1629029,0022301131,"APR 07, 2024",DAL vs. HOU,W,45,12,21,0.571,4,10,0.4,9,9,1.0,2,7,9,12,0,2,7,5,37,20,1
22023,1629029,0022301124,"APR 04, 2024",DAL vs. ATL,W,37,8,25,0.32,6,15,0.4,3,3,1.0,0,12,12,8,2,1,5,3,25,21,1
22023,1629029,0022300589,"APR 02, 2024",DAL @ GSW,L,39,11,22,0.5,5,11,0.455,3,4,0.75,1,11,12,11,0,0,5,1,30,9,1
22023,1629029,0022301083,"MAR 31, 2024",DAL @ HOU,W,35,18,30,0.6,9,16,0.563,2,5,0.4,0,12,12,7,2,0,4,1,47,12,1
22023,1629029,0022301073,"MAR 29, 2024",DAL @ SAC,W,41,6,14,0.429,4,8,0.5,10,14,0.714,0,9,9,12,2,0,5,2,26,6,1
22023,1629029,0022301047,"MAR 26, 2024",DAL @ SAC,W,32,10,18,0.556,4,8,0.5,4,5,0.8,1,10,11,6,2,0,4,4,28,18,1
22023,1629029,0022301041,"MAR 25, 2024",DAL @ UTA,W,41,10,24,0.417,2,11,0.182,7,8,0.875,2,10,12,13,1,1,4,3,29,10,1
22023,1629029,0022301008,"MAR 21, 2024",DAL vs. UTA,W,35,11,23,0.478,4,10,0.4,8,12,0.667,1,8,9,8,4,0,4,2,34,-3,1
22023,1629029,0022300994,"MAR 19, 2024",DAL @ SAS,W,40,6,27,0.222,2,12,0.167,4,5,0.8,0,10,10,16,1,0,4,0,18,5,1
22023,1629029,0022300978,"MAR 17, 2024",DAL vs. DEN,W,40,12,27,0.444,5,11,0.455,8,10,0.8,4,6,10,3,2,0,3,3,37,-1,1
22023,1629029,0022300952,"MAR 13, 2024",DAL vs. GSW,W,30,7,18,0.389,1,6,0.167,6,8,0.75,1,2,3,9,0,0,6,0,21,14,1
22023,1629029,0022300935,"MAR 11, 2024",DAL @ CHI,W,34,9,23,0.391,6,15,0.4,3,4,0.75,2,10,12,14,1,0,2,2,27,34,1
22023,1629029,0022300919,"MAR 09, 2024",DAL @ DET,W,37,13,24,0.542,4,13,0.308,9,10,0.9,0,10,10,10,3,2,6,1,39,13,1
22023,1629029,0022300904,"MAR 07, 2024",DAL vs. MIA,W,40,12,24,0.5,7,13,0.538,4,4,1.0,0,11,11,11,1,0,4,2,35,11,1
22023,1629029,0022300892,"MAR 05, 2024",DAL vs. IND,L,43,15,30,0.5,4,13,0.308,5,6,0.833,0,10,10,11,0,0,5,4,39,-18,1
22023,1629029,0022300871,"MAR 03, 2024",DAL vs. PHI,L,40,14,27,0.519,4,10,0.4,6,6,1.0,2,9,11,10,1,0,7,2,38,9,1
22023,1629029,0022300859,"MAR 01, 2024",DAL @ BOS,L,37,14,25,0.56,3,9,0.333,6,8,0.75,3,9,12,11,0,0,2,3,37,-20,1
22023,1629029,0022300844,"FEB 28, 2024",DAL @ TOR,W,36,11,23,0.478,1,8,0.125,7,9,0.778,1,11,12,16,2,0,5,3,30,11,1
22023,1629029,0022300832,"FEB 27, 2024",DAL @ CLE,L,41,17,29,0.586,6,11,0.545,5,5,1.0,0,9,9,14,3,0,1,1,45,13,1
22023,1629029,0022300819,"FEB 25, 2024",DAL @ IND,L,33,10,21,0.476,4,8,0.5,9,12,0.75,1,5,6,6,1,2,3,4,33,-13,1
22023,1629029,0022300796,"FEB 22, 2024",DAL vs. PHX,W,38,14,27,0.519,6,11,0.545,7,7,1.0,0,9,9,11,3,0,3,4,41,9,1
22023,1629029,0022300785,"FEB 14, 2024",DAL vs. SAS,W,31,11,20,0.55,1,8,0.125,4,4,1.0,0,9,9,8,2,1,5,2,27,25,1
22023,1629029,0022300768,"FEB 12, 2024",DAL vs. WAS,W,37,8,16,0.5,2,7,0.286,8,11,0.727,1,10,11,15,1,2,5,3,26,19,1
22023,1629029,0022300748,"FEB 10, 2024",DAL vs. OKC,W,31,9,14,0.643,4,8,0.5,10,13,0.769,0,8,8,9,0,0,3,3,32,18,1
22023,1629029,0022300736,"FEB 08, 2024",DAL @ NYK,W,40,13,24,0.542,7,14,0.5,6,7,0.857,0,8,8,11,4,1,3,1,39,18,1
22023,1629029,0022300720,"FEB 06, 2024",DAL @ BKN,W,43,13,27,0.481,4,11,0.364,5,10,0.5,1,17,18,9,2,1,1,3,35,6,1
22023,1629029,0022300715,"FEB 05, 2024",DAL @ PHI,W,36,6,15,0.4,4,10,0.4,3,5,0.6,0,8,8,3,1,0,3,3,19,17,1
22023,1629029,0022300702,"FEB 03, 2024",DAL vs. MIL,L,42,13,26,0.5,4,12,0.333,10,11,0.909,1,8,9,11,1,0,9,4,40,-12,1
22023,1629029,0022300666,"JAN 29, 2024",DAL vs. ORL,W,43,12,23,0.522,3,8,0.375,18,21,0.857,0,9,9,15,2,0,4,4,45,3,1
22023,1629029,0022300651,"JAN 27, 2024",DAL vs. SAC,L,46,9,26,0.346,1,9,0.111,9,12,0.75,2,8,10,17,2,1,3,3,28,2,1
22023,1629029,0022300634,"JAN 26, 2024",DAL @ ATL,W,45,25,33,0.758,8,13,0.615,15,16,0.938,0,10,10,7,1,0,4,1,73,13,1
22023,1629029,0022300625,"JAN 24, 2024",DAL vs. PHX,L,39,11,24,0.458,4,11,0.364,8,12,0.667,1,7,8,9,1,2,5,1,34,-22,1
22023,1629029,0022300611,"JAN 22, 2024",DAL vs. BOS,L,40,12,30,0.4,2,8,0.25,7,11,0.636,5,13,18,13,2,0,3,5,33,-13,1
22023,1629029,0022300577,"JAN 17, 2024",DAL @ LAL,L,36,12,24,0.5,2,9,0.222,7,9,0.778,0,13,13,10,2,2,4,2,33,-15,1
22023,1629029,0022300515,"JAN 09, 2024",DAL vs. MEM,L,36,9,21,0.429,2,8,0.25,11,15,0.733,0,6,6,6,3,0,3,1,31,-14,1
22023,1629029,0022300501,"JAN 07, 2024",DAL vs. MIN,W,39,12,26,0.462,5,12,0.417,5,8,0.625,0,6,6,8,1,0,3,3,34,5,1
22023,1629029,0022300472,"JAN 03, 2024",DAL vs. POR,W,31,13,21,0.619,4,7,0.571,11,14,0.786,0,6,6,5,1,0,4,1,41,23,1
22023,1629029,0022300457,"JAN 01, 2024",DAL @ UTA,L,34,6,20,0.3,3,13,0.231,4,6,0.667,0,6,6,14,1,0,4,1,19,-17,1
22023,1629029,0022300444,"DEC 30, 2023",DAL @ GSW,W,38,14,29,0.483,5,13,0.385,6,7,0.857,0,8,8,10,1,1,4,3,39,9,1
22023,1629029,0022300420,"DEC 27, 2023",DAL vs. CLE,L,37,14,29,0.483,3,10,0.3,8,10,0.8,0,7,7,6,2,2,5,0,39,-9,1
22023,1629029,0022300405,"DEC 25, 2023",DAL @ PHX,W,44,15,25,0.6,8,16,0.5,12,12,1.0,1,5,6,15,4,3,4,2,50,16,1
22023,1629029,0022300398,"DEC 23, 2023",DAL vs. SAS,W,32,13,27,0.481,5,10,0.5,8,11,0.727,2,10,12,10,1,1,2,1,39,37,1
22023,1629029,0022300372,"DEC 20, 2023",DAL vs. LAC,L,44,9,25,0.36,2,11,0.182,8,14,0.571,1,8,9,10,1,0,5,1,28,-4,1
22023,1629029,0022300356,"DEC 18, 2023",DAL @ DEN,L,36,13,24,0.542,6,12,0.5,6,10,0.6,3,8,11,8,0,0,3,1,38,-29,1
22023,1629029,0022300341,"DEC 16, 2023",DAL @ POR,W,37,15,28,0.536,4,12,0.333,6,6,1.0,2,10,12,10,1,0,4,3,40,-4,1
22023,1629029,0022300321,"DEC 14, 2023",DAL vs. MIN,L,39,15,27,0.556,2,7,0.286,7,7,1.0,1,5,6,13,2,0,8,2,39,-12,1
22023,1629029,0022300306,"DEC 12, 2023",DAL vs. LAL,W,43,12,28,0.429,3,10,0.3,6,6,1.0,0,6,6,17,1,0,4,0,33,10,1
22023,1629029,0022300299,"DEC 11, 2023",DAL @ MEM,W,44,9,21,0.429,5,10,0.5,12,13,0.923,0,8,8,6,2,2,3,3,35,3,1
22023,1629029,0022301226,"DEC 08, 2023",DAL @ POR,W,41,11,28,0.393,3,14,0.214,7,8,0.875,0,6,6,10,1,1,5,1,32,13,1
22023,1629029,0022301213,"DEC 06, 2023",DAL vs. UTA,W,32,14,25,0.56,6,12,0.5,6,8,0.75,2,8,10,11,1,0,4,2,40,34,1
22023,1629029,0022300287,"DEC 02, 2023",DAL vs. OKC,L,46,11,22,0.5,5,13,0.385,9,14,0.643,2,13,15,18,2,2,7,2,36,-7,1
22023,1629029,0022300059,"NOV 28, 2023",DAL vs. HOU,W,38,15,29,0.517,3,10,0.3,8,9,0.889,0,9,9,9,2,0,0,3,41,12,1
22023,1629029,0022300244,"NOV 25, 2023",DAL @ LAC,L,38,12,27,0.444,1,8,0.125,5,5,1.0,0,3,3,4,2,2,4,4,30,-14,1
22023,1629029,0022300238,"NOV 22, 2023",DAL @ LAL,W,39,10,26,0.385,3,12,0.25,7,8,0.875,0,12,12,8,2,0,0,2,30,-11,1
22023,1629029,0022300212,"NOV 19, 2023",DAL vs. SAC,L,32,7,19,0.368,3,7,0.429,8,10,0.8,1,9,10,7,3,0,2,0,25,-14,1
22023,1629029,0022300205,"NOV 18, 2023",DAL @ MIL,L,35,15,26,0.577,4,9,0.444,1,4,0.25,1,8,9,9,0,0,3,1,35,-17,1
22023,1629029,0022300192,"NOV 15, 2023",DAL @ WAS,W,32,7,18,0.389,4,11,0.364,8,12,0.667,1,6,7,10,0,0,3,2,26,12,1
22023,1629029,0022300022,"NOV 14, 2023",DAL @ NOP,L,26,5,16,0.313,3,5,0.6,3,5,0.6,1,1,2,2,0,0,8,0,16,-26,1
22023,1629029,0022300183,"NOV 12, 2023",DAL @ NOP,W,28,11,18,0.611,4,9,0.444,4,5,0.8,0,4,4,9,1,0,2,0,30,14,1
22023,1629029,0022300014,"NOV 10, 2023",DAL vs. LAC,W,32,17,21,0.81,6,9,0.667,4,4,1.0,0,6,6,6,1,0,1,1,44,32,1
22023,1629029,0022300168,"NOV 08, 2023",DAL vs. TOR,L,38,11,26,0.423,2,10,0.2,7,10,0.7,0,7,7,8,4,1,4,3,31,-7,1
22023,1629029,0022300147,"NOV 06, 2023",DAL @ ORL,W,35,9,17,0.529,5,10,0.5,6,6,1.0,0,3,3,6,2,0,6,2,29,7,1
22023,1629029,0022300143,"NOV 05, 2023",DAL vs. CHA,W,36,8,19,0.421,1,9,0.111,6,7,0.857,1,11,12,9,0,1,4,3,23,3,1
22023,1629029,0022300006,"NOV 03, 2023",DAL @ DEN,L,38,11,24,0.458,6,11,0.545,6,7,0.857,3,7,10,8,0,1,9,2,34,-4,1
22023,1629029,0022300124,"NOV 01, 2023",DAL vs. CHI,W,40,5,16,0.313,1,8,0.125,7,9,0.778,0,7,7,10,2,1,6,2,18,11,1
22023,1629029,0022300106,"OCT 30, 2023",DAL @ MEM,W,40,11,22,0.5,6,12,0.5,7,10,0.7,0,12,12,12,1,1,6,4,35,6,1
22023,1629029,0022300084,"OCT 27, 2023",DAL vs. BKN,W,36,16,25,0.64,9,14,0.643,8,10,0.8,1,9,10,7,0,0,0,1,49,9,1
22023,1629029,0022300073,"OCT 25, 2023",DAL @ SAS,W,34,13,25,0.52,3,11,0.273,4,7,0.571,1,12,13,10,2,0,4,1,33,4,1
